name,state-code
Florida,24
Arizona,0
New Mexico,13
California,2
Texas,48
Missouri,39
Massachusetts,37
North Carolina,29
New York,43
Pennsylvania,16
Illinois,7
Indiana,8
Tennessee,17
Georgia,6
Hawaii,50
New Jersey,28
Nevada,41
Connecticut,4
District of Columbia,5
Minnesota,10
Maryland,27
Ohio,44
Oklahoma,15
South Carolina,30
Iowa,34
Michigan,38
Utah,33
Kansas,26
Maine,36
Oregon,45
Nebraska,40
Virginia,18
Colorado,3
Louisiana,9
Rhode Island,46
Washington,31
Mississippi,11
Alabama,23
Idaho,25
Arkansas,1
Wisconsin,21
Wyoming,22
Kentucky,35
North Dakota,14
West Virginia,20
Alaska,49
Montana,12
South Dakota,47
New Hampshire,42
Vermont,32